Stimulus,N,Raw_Mean,BLUP,condition
Amtsperiode,38,6.90935445387716,6.86512022362991,words_only
Amtsperson,33,6.68417632256113,6.65778337341028,words_only
Amtspflicht,38,6.58702293618967,6.57565966415415,words_only
Amtsrichter,39,6.56161755441347,6.59564740478391,words_only
Amtsschimmel,18,6.74263856157302,6.7778026408757,words_only
Amtsschreiber,38,6.79650177591406,6.78867446869209,words_only
Amtssitz,37,6.56262512732879,6.60581593849964,words_only
Amtssprache,39,6.6125153222387,6.62096485148433,words_only
Amtsträger,37,6.60570573213521,6.6349370213422,words_only
Amtsvergehen,39,6.84342540960439,6.81840617917932,words_only
Amtszeit,36,6.44552426218325,6.45928825610098,words_only
Amtszimmer,37,6.63369085913044,6.64939538751839,words_only
Amtsübernahme,43,6.84375851327909,6.81103558152295,words_only
Amulett,32,6.52699141387373,6.57645989610425,words_only
Amüsement,30,6.77880838540901,6.80924788145855,words_only
Anachronismus,24,7.07701481791474,7.06865337847658,words_only
Anagramm,29,6.68922166921968,6.73104836249525,words_only
Analogie,36,6.5848164819797,6.54931275393007,words_only
Analphabet,33,6.68251924298421,6.69962545931587,words_only
Analphabetentum,27,7.09676980328763,7.07882893281648,words_only
Analverkehr,41,6.63481039906984,6.66752585557676,words_only
Analyse,38,6.44034227008998,6.45958814058607,words_only
Analysis,39,6.61290744500812,6.64829059500371,words_only
Analyst,36,6.58179802099575,6.57159894707466,words_only
Analytiker,35,6.59399573694671,6.60098069542898,words_only
Analytikerin,38,6.6987057170451,6.70155737132401,words_only
Anamnese,38,6.69781130070395,6.66245894440336,words_only
Ananas,37,6.51081201314206,6.53482115334891,words_only
Anarchie,36,6.62671224313803,6.60031065596035,words_only
Anarchist,37,6.76575004408821,6.72210523504873,words_only
Anatomie,36,6.49454573064116,6.48341712974419,words_only
Anbau,41,6.51743003187372,6.52933876198649,words_only
Anbeginn,39,6.63682900004469,6.67445628053552,words_only
Anbeter,36,6.75015990044361,6.69571792279518,words_only
Anbetracht,29,6.84568315862687,6.80212159796961,words_only
Anbetung,36,6.68505366105389,6.66844957900683,words_only
Anbieter,39,6.48887493608842,6.45951892502204,words_only
Anblick,40,6.45476698179051,6.50304798398222,words_only
Anbruch,37,6.59157916467308,6.5885843830962,words_only
Andacht,35,6.6306786721148,6.61954206862324,words_only
Andenken,37,6.51185616044016,6.540519889658,words_only
Andenkenladen,27,7.2214252948378,7.17515070285164,words_only
Andersartigkeit,34,6.7875362335946,6.82515264775431,words_only
Andersdenkende,28,7.16208974406073,7.10009295714707,words_only
Andersgläubige,39,6.93798155036786,6.90281691671489,words_only
Anderssein,30,6.79818691779138,6.78459195535303,words_only
Andeutung,40,6.43559630528206,6.46197271671415,words_only
Andrang,37,6.66156190038751,6.63507608186287,words_only
Androhung,38,6.55071312528797,6.54124375607016,words_only
Androide,30,6.79036376021187,6.79036584397525,words_only
Andromeda,20,6.90674112019199,6.83864261362708,words_only
Andruck,30,6.5319750287799,6.53846465331325,words_only
Aneignung,42,6.64444654857356,6.66898251471365,words_only
Aneinanderreihung,37,6.8955145164178,6.88949056225694,words_only
Anekdote,31,6.65669460326578,6.63837668461273,words_only
Anemone,26,7.00781361207927,6.88828022181817,words_only
Anerkennung,40,6.47603857423266,6.5005606170736,words_only
Anfahrt,39,6.4157352025463,6.42720522882589,words_only
Anfall,37,6.40381132374653,6.4286716030792,words_only
Anfang,40,6.34986529150693,6.39003064364663,words_only
Anfangsbuchstabe,40,6.68192279265603,6.67633499043332,words_only
Anfangserfolg,38,6.84476883680673,6.824744786122,words_only
Anfangsgehalt,37,7.00846603187549,6.90864040379975,words_only
Anfangsjahr,36,6.55871318700002,6.5743718937648,words_only
Anfangskapital,40,6.63449399079029,6.66374841715161,words_only
Anfangskapitel,38,6.72097117212689,6.74120127182319,words_only
